2,1,688,339,136,380,-1,-1,-1,-1
2,2,1095,399,163,320,-1,-1,-1,-1
3,1,691,341,135,378,-1,-1,-1,-1
3,2,1100,393,169,326,-1,-1,-1,-1
4,1,694,340,136,379,-1,-1,-1,-1
4,2,1091,399,164,320,-1,-1,-1,-1
5,1,694,344,135,375,-1,-1,-1,-1
5,2,1083,402,161,317,-1,-1,-1,-1
6,1,696,345,135,374,-1,-1,-1,-1
6,2,1080,414,156,305,-1,-1,-1,-1
7,1,698,345,136,374,-1,-1,-1,-1
7,2,1077,416,155,303,-1,-1,-1,-1
8,1,699,333,140,386,-1,-1,-1,-1
8,2,1073,407,158,312,-1,-1,-1,-1
9,1,699,339,139,380,-1,-1,-1,-1
9,2,1073,402,158,317,-1,-1,-1,-1
10,1,698,339,141,380,-1,-1,-1,-1
10,2,1073,400,159,319,-1,-1,-1,-1
11,1,697,338,141,381,-1,-1,-1,-1
11,2,1074,400,158,319,-1,-1,-1,-1
12,1,695,336,143,383,-1,-1,-1,-1
12,2,1074,399,158,320,-1,-1,-1,-1
13,1,694,335,144,384,-1,-1,-1,-1
13,2,1075,400,156,319,-1,-1,-1,-1
14,1,694,334,145,385,-1,-1,-1,-1
14,2,1074,400,156,319,-1,-1,-1,-1
15,1,694,336,146,383,-1,-1,-1,-1
15,2,1073,400,154,319,-1,-1,-1,-1
16,1,695,338,146,381,-1,-1,-1,-1
16,2,1075,414,147,305,-1,-1,-1,-1
17,1,695,341,146,378,-1,-1,-1,-1
17,2,1072,404,150,315,-1,-1,-1,-1
18,1,695,342,147,377,-1,-1,-1,-1
18,2,1073,413,145,306,-1,-1,-1,-1
19,1,697,346,146,373,-1,-1,-1,-1
19,2,1068,401,148,318,-1,-1,-1,-1
20,1,696,344,148,375,-1,-1,-1,-1
20,2,1067,396,148,323,-1,-1,-1,-1
21,1,697,345,149,374,-1,-1,-1,-1
21,2,1067,395,146,324,-1,-1,-1,-1
22,1,700,348,149,371,-1,-1,-1,-1
22,2,1071,410,137,309,-1,-1,-1,-1
23,1,699,346,150,373,-1,-1,-1,-1
23,2,1069,401,139,318,-1,-1,-1,-1
24,1,695,346,149,373,-1,-1,-1,-1
24,2,1068,395,139,324,-1,-1,-1,-1
25,1,689,347,148,372,-1,-1,-1,-1
25,2,1060,392,139,327,-1,-1,-1,-1
26,1,684,342,149,377,-1,-1,-1,-1
26,2,1057,391,138,328,-1,-1,-1,-1
27,1,681,336,150,383,-1,-1,-1,-1
27,2,1055,390,137,329,-1,-1,-1,-1
28,1,680,336,149,383,-1,-1,-1,-1
28,2,1057,402,131,317,-1,-1,-1,-1
29,1,681,341,146,378,-1,-1,-1,-1
29,2,1059,408,128,311,-1,-1,-1,-1
30,1,681,344,145,375,-1,-1,-1,-1
30,2,1060,411,126,308,-1,-1,-1,-1
31,1,680,346,145,373,-1,-1,-1,-1
31,2,1058,414,125,305,-1,-1,-1,-1
32,1,680,346,145,373,-1,-1,-1,-1
32,2,1058,415,125,304,-1,-1,-1,-1
